Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-08-07,1295.7,1295.7,1295.7,1295.7,1804201
1996-08-08,1311.1,1311.1,1311.1,1311.1,1970545
1996-08-09,1325,1325,1325,1325,1783498
1996-08-12,1318.7,1318.7,1318.7,1318.7,1547805
1996-08-13,1302.5,1302.5,1302.5,1302.5,1458868
1996-08-14,1306.4,1306.4,1306.4,1306.4,1907338
1996-08-16,1331.1,1331.1,1331.1,1331.1,2309459
1996-08-19,1360.5,1360.5,1360.5,1360.5,3582961
1996-08-20,1377.7,1377.7,1377.7,1377.7,3565635
1996-08-21,1378.2,1378.2,1378.2,1378.2,2719253
1996-08-22,1419.3,1419.3,1419.3,1419.3,3327853
1996-08-23,1449,1449,1449,1449,3288857
1996-08-26,1436.2,1436.2,1436.2,1436.2,2619435
1996-08-27,1413.5,1413.5,1413.5,1413.5,2007298
1996-08-28,1423.7,1423.7,1423.7,1423.7,1662353
1996-08-29,1415.4,1415.4,1415.4,1415.4,1681010
1996-08-30,1442,1442,1442,1442,2691034
1996-09-02,1455.3,1455.3,1455.3,1455.3,2879472
1996-09-03,1448,1448,1448,1448,2636960
1996-09-04,1436.8,1436.8,1436.8,1436.8,2651318
1996-09-05,1408.9,1408.9,1408.9,1408.9,2111946
1996-09-06,1401.6,1401.6,1401.6,1401.6,2288895
1996-09-09,1415.5,1415.5,1415.5,1415.5,1627135
1996-09-10,1436.7,1436.7,1436.7,1436.7,2384632
1996-09-11,1429,1429,1429,1429,2043016
1996-09-12,1448.3,1448.3,1448.3,1448.3,2160591
1996-09-13,1471.1,1471.1,1471.1,1471.1,3196076
1996-09-16,1507.6,1507.6,1507.6,1507.6,4566085
1996-09-17,1532.2,1532.2,1532.2,1532.2,4323770
1996-09-18,1534.7,1534.7,1534.7,1534.7,4734778
1996-09-19,1501.6,1501.6,1501.6,1501.6,3124758
1996-09-20,1496.6,1496.6,1496.6,1496.6,3043539
1996-09-23,1519.8,1519.8,1519.8,1519.8,2972771
1996-09-24,1511.2,1511.2,1511.2,1511.2,3332638
1996-09-25,1490.6,1490.6,1490.6,1490.6,3500626
1996-09-26,1495.5,1495.5,1495.5,1495.5,2292563
1996-09-27,1524,1524,1524,1524,3784165
1996-09-30,1517.2,1517.2,1517.2,1517.2,3354455
1996-10-01,1513.8,1513.8,1513.8,1513.8,4427449
1996-10-02,1513.9,1513.9,1513.9,1513.9,4384795
1996-10-03,1505.5,1505.5,1505.5,1505.5,3225771
1996-10-04,1513.6,1513.6,1513.6,1513.6,3491794
1996-10-07,1530.3,1530.3,1530.3,1530.3,3584411
1996-10-08,1551.6,1551.6,1551.6,1551.6,3846251
1996-10-09,1561.9,1561.9,1561.9,1561.9,4150564
1996-10-10,1559,1559,1559,1559,3918520
1996-10-11,1543.5,1543.5,1543.5,1543.5,2950380
1996-10-14,1541.5,1541.5,1541.5,1541.5,3035312
1996-10-15,1546.7,1546.7,1546.7,1546.7,2812153
1996-10-16,1546.2,1546.2,1546.2,1546.2,2703688
1996-10-17,1532.9,1532.9,1532.9,1532.9,2296829
1996-10-18,1522,1522,1522,1522,2883673
1996-10-21,1485,1485,1485,1485,2868108
1996-10-22,1456,1456,1456,1456,2537687
1996-10-23,1456.3,1456.3,1456.3,1456.3,2842554
1996-10-24,1414,1414,1414,1414,2828292
1996-10-25,1381.1,1381.1,1381.1,1381.1,2858063
1996-10-28,1348.6,1348.6,1348.6,1348.6,2725701
1996-10-29,1320.5,1320.5,1320.5,1320.5,2797588
1996-10-30,1361.7,1361.7,1361.7,1361.7,2912307
1996-10-31,1381.7,1381.7,1381.7,1381.7,3371015
1996-11-04,1387.8,1387.8,1387.8,1387.8,2513014
1996-11-05,1381.3,1381.3,1381.3,1381.3,2032529
1996-11-06,1424,1424,1424,1424,3389127
1996-11-07,1424.9,1424.9,1424.9,1424.9,2457848
1996-11-08,1417.2,1417.2,1417.2,1417.2,1739007
1996-11-12,1400.9,1400.9,1400.9,1400.9,1592306
1996-11-13,1382.7,1382.7,1382.7,1382.7,1863633
1996-11-14,1366.8,1366.8,1366.8,1366.8,2061993
1996-11-15,1380.5,1380.5,1380.5,1380.5,2091128
1996-11-18,1387.6,1387.6,1387.6,1387.6,1911481
1996-11-19,1386.8,1386.8,1386.8,1386.8,2429495
1996-11-20,1380.9,1380.9,1380.9,1380.9,1798618
1996-11-21,1387.4,1387.4,1387.4,1387.4,1642714
1996-11-22,1395.8,1395.8,1395.8,1395.8,2002676
1996-11-25,1400.3,1400.3,1400.3,1400.3,2330390
1996-11-26,1387.4,1387.4,1387.4,1387.4,1807166
1996-11-27,1394.2,1394.2,1394.2,1394.2,2772989
1996-11-28,1396.9,1396.9,1396.9,1396.9,2220307
1996-11-29,1406.7,1406.7,1406.7,1406.7,2291061
1996-12-02,1391.4,1391.4,1391.4,1391.4,2312726
1996-12-03,1386.7,1386.7,1386.7,1386.7,2739432
1996-12-04,1385.6,1385.6,1385.6,1385.6,2274486
1996-12-05,1398.2,1398.2,1398.2,1398.2,2463735
1996-12-06,1386.4,1386.4,1386.4,1386.4,2019211
1996-12-09,1368,1368,1368,1368,2376452
1996-12-10,1368,1368,1368,1368,2576524
1996-12-11,1389,1389,1389,1389,2085620
1996-12-12,1408.6,1408.6,1408.6,1408.6,2986649
1996-12-13,1408.9,1408.9,1408.9,1408.9,3236441
1996-12-16,1399.3,1399.3,1399.3,1399.3,2638305
1996-12-17,1398,1398,1398,1398,2717262
1996-12-18,1408,1408,1408,1408,2937913
